data,Distrito,Óbitos
2020-04-08,Aveiro,28
2020-04-09,Aveiro,25
2020-04-10,Aveiro,25
2020-04-11,Aveiro,26
2020-04-12,Aveiro,13
2020-04-13,Aveiro,34
2020-04-14,Aveiro,27
2020-04-15,Aveiro,21
2020-04-16,Aveiro,25
2020-04-17,Aveiro,23
2020-04-18,Aveiro,29
2020-04-19,Aveiro,25
2020-04-20,Aveiro,25
2020-04-21,Aveiro,13
2020-04-22,Aveiro,17
2020-04-23,Aveiro,16
2020-04-24,Aveiro,20
2020-04-25,Aveiro,18
2020-04-26,Aveiro,19
2020-04-27,Aveiro,21
2020-04-28,Aveiro,16
2020-04-29,Aveiro,18
2020-04-30,Aveiro,18
2020-05-01,Aveiro,24
2020-05-02,Aveiro,22
2020-05-03,Aveiro,17
2020-05-04,Aveiro,14
2020-05-05,Aveiro,16
2020-05-06,Aveiro,11
2020-05-07,Aveiro,24
2020-05-08,Aveiro,22
2020-05-09,Aveiro,14
2020-05-10,Aveiro,13
2020-05-11,Aveiro,28
2020-05-12,Aveiro,24
2020-05-13,Aveiro,10
2020-05-14,Aveiro,21
2020-05-15,Aveiro,17
2020-05-16,Aveiro,23
2020-05-17,Aveiro,16
2020-05-18,Aveiro,20
2020-05-19,Aveiro,20
2020-05-20,Aveiro,18
2020-05-21,Aveiro,17
2020-05-22,Aveiro,14
2020-05-23,Aveiro,20
2020-05-24,Aveiro,19
2020-05-25,Aveiro,17
2020-05-26,Aveiro,19
2020-05-27,Aveiro,23
2020-05-28,Aveiro,17
2020-05-29,Aveiro,21
2020-05-30,Aveiro,21
2020-05-31,Aveiro,24
2020-06-01,Aveiro,13
2020-06-02,Aveiro,18
2020-06-03,Aveiro,16
2020-06-04,Aveiro,24
2020-06-05,Aveiro,17
2020-06-06,Aveiro,14
2020-06-07,Aveiro,19
2020-06-08,Aveiro,18
2020-06-09,Aveiro,12
2020-06-10,Aveiro,21
2020-06-11,Aveiro,20
2020-06-12,Aveiro,20
2020-06-13,Aveiro,14
2020-06-14,Aveiro,16
2020-06-15,Aveiro,12
2020-06-16,Aveiro,16
2020-06-17,Aveiro,22
2020-06-18,Aveiro,14
2020-06-19,Aveiro,17
2020-06-20,Aveiro,13
2020-06-21,Aveiro,17
2020-06-22,Aveiro,15
2020-06-23,Aveiro,24
2020-06-24,Aveiro,17
2020-06-25,Aveiro,26
2020-06-26,Aveiro,9
2020-06-27,Aveiro,17
2020-06-28,Aveiro,13
2020-06-29,Aveiro,19
2020-06-30,Aveiro,15
2020-07-01,Aveiro,12
2020-07-02,Aveiro,14
2020-07-03,Aveiro,12
2020-07-04,Aveiro,14
2020-07-05,Aveiro,18
2020-07-06,Aveiro,20
2020-07-07,Aveiro,13
2020-07-08,Aveiro,14
2020-07-09,Aveiro,20
2020-07-10,Aveiro,25
2020-07-11,Aveiro,17
2020-07-12,Aveiro,26
2020-07-13,Aveiro,15
2020-07-14,Aveiro,23
2020-07-15,Aveiro,19
2020-07-16,Aveiro,24
2020-07-17,Aveiro,25
2020-07-18,Aveiro,26
2020-07-19,Aveiro,29
2020-07-20,Aveiro,20
2020-07-21,Aveiro,18
2020-07-22,Aveiro,26
2020-07-23,Aveiro,22
2020-07-24,Aveiro,23
2020-07-25,Aveiro,22
2020-07-26,Aveiro,23
2020-07-27,Aveiro,18
2020-07-28,Aveiro,18
2020-07-29,Aveiro,16
2020-07-30,Aveiro,14
2020-07-31,Aveiro,16
2020-01-01,Beja,3
2020-01-02,Beja,11
2020-01-03,Beja,11
2020-01-04,Beja,6
2020-01-05,Beja,9
2020-01-06,Beja,9
2020-01-07,Beja,8
2020-01-08,Beja,8
2020-01-09,Beja,3
2020-01-10,Beja,5
2020-01-11,Beja,9
2020-01-12,Beja,11
2020-01-13,Beja,5
2020-01-14,Beja,5
2020-01-15,Beja,9
2020-01-16,Beja,4
2020-01-17,Beja,8
2020-01-18,Beja,6
2020-01-19,Beja,6
2020-01-20,Beja,9
2020-01-21,Beja,6
2020-01-22,Beja,7
2020-01-23,Beja,9
2020-01-24,Beja,7
2020-01-25,Beja,11
2020-01-26,Beja,9
2020-01-27,Beja,9
2020-01-28,Beja,8
2020-01-29,Beja,7
2020-01-30,Beja,8
2020-01-31,Beja,8
2020-02-01,Beja,5
2020-02-02,Beja,9
2020-02-03,Beja,5
2020-02-04,Beja,12
2020-02-05,Beja,9
2020-02-06,Beja,6
2020-02-07,Beja,4
2020-02-08,Beja,3
2020-02-09,Beja,6
2020-02-10,Beja,7
2020-02-11,Beja,5
2020-02-12,Beja,14
2020-02-13,Beja,4
2020-02-14,Beja,6
2020-02-15,Beja,12
2020-02-16,Beja,3
2020-02-17,Beja,10
2020-02-18,Beja,5
2020-02-19,Beja,11
2020-02-20,Beja,7
2020-02-21,Beja,9
2020-02-22,Beja,8
2020-02-23,Beja,7
2020-02-24,Beja,8
2020-02-25,Beja,8
2020-02-26,Beja,4
2020-02-27,Beja,9
2020-02-28,Beja,7
2020-02-29,Beja,5
2020-03-01,Beja,12
2020-03-02,Beja,10
2020-03-03,Beja,2
2020-03-04,Beja,2
2020-03-05,Beja,6
2020-03-06,Beja,6
2020-03-07,Beja,7
2020-03-08,Beja,7
2020-03-09,Beja,3
2020-03-10,Beja,2
2020-03-11,Beja,7
2020-03-12,Beja,8
2020-03-13,Beja,4
2020-03-14,Beja,10
2020-03-15,Beja,4
2020-03-16,Beja,3
2020-03-17,Beja,11
2020-03-18,Beja,4
2020-03-19,Beja,10
2020-03-20,Beja,13
2020-03-21,Beja,9
2020-03-22,Beja,8
2020-03-23,Beja,7
2020-03-24,Beja,8
2020-03-25,Beja,5
2020-03-26,Beja,6
2020-03-27,Beja,6
2020-03-28,Beja,2
2020-03-29,Beja,9
2020-03-30,Beja,6
2020-03-31,Beja,9
2020-04-01,Beja,10
2020-04-02,Beja,5
2020-04-03,Beja,4
2020-04-04,Beja,13
2020-04-05,Beja,3
2020-04-06,Beja,5
2020-04-07,Beja,7
2020-04-08,Beja,11
2020-04-09,Beja,13
2020-04-10,Beja,8
2020-04-11,Beja,7
2020-04-12,Beja,12
2020-04-13,Beja,5
2020-04-14,Beja,4
2020-04-15,Beja,10
2020-04-16,Beja,4
2020-04-17,Beja,5
2020-04-18,Beja,5
2020-04-19,Beja,8
2020-04-20,Beja,8
2020-04-21,Beja,8
2020-04-22,Beja,10
2020-04-23,Beja,6
2020-04-24,Beja,8
2020-04-25,Beja,6
2020-04-26,Beja,5
2020-04-27,Beja,9
2020-04-28,Beja,5
2020-04-29,Beja,5
2020-04-30,Beja,5
2020-05-01,Beja,11
2020-05-02,Beja,6
2020-05-03,Beja,5
2020-05-04,Beja,2
2020-05-05,Beja,9
2020-05-06,Beja,4
2020-05-07,Beja,8
2020-05-08,Beja,8
2020-05-09,Beja,10
2020-05-10,Beja,5
2020-05-11,Beja,5
2020-05-12,Beja,7
2020-05-13,Beja,6
2020-05-14,Beja,4
2020-05-15,Beja,8
2020-05-16,Beja,7
2020-05-17,Beja,5
2020-05-18,Beja,4
2020-05-19,Beja,7
2020-05-20,Beja,6
2020-05-21,Beja,5
2020-05-22,Beja,7
2020-05-23,Beja,10
2020-05-24,Beja,3
2020-05-25,Beja,11
2020-05-26,Beja,7
2020-05-27,Beja,9
2020-05-28,Beja,5
2020-05-29,Beja,9
2020-05-30,Beja,4
2020-05-31,Beja,8
2020-06-01,Beja,5
2020-06-02,Beja,2
2020-06-03,Beja,5
2020-06-04,Beja,7
2020-06-05,Beja,4
2020-06-06,Beja,4
2020-06-07,Beja,7
2020-06-08,Beja,4
2020-06-09,Beja,7
2020-06-10,Beja,2
2020-06-11,Beja,11
2020-06-12,Beja,11
2020-06-13,Beja,7
2020-06-14,Beja,8
2020-06-15,Beja,6
2020-06-16,Beja,4
2020-06-17,Beja,9
2020-06-18,Beja,4
2020-06-19,Beja,5
2020-06-20,Beja,3
2020-06-21,Beja,2
2020-06-22,Beja,11
2020-06-23,Beja,5
2020-06-24,Beja,7
2020-06-25,Beja,9
2020-06-26,Beja,8
2020-06-27,Beja,4
2020-06-28,Beja,4
2020-06-29,Beja,2
2020-06-30,Beja,4
2020-07-01,Beja,3
2020-07-02,Beja,5
2020-07-03,Beja,8
2020-07-04,Beja,4
2020-07-05,Beja,11
2020-07-06,Beja,1
2020-07-07,Beja,5
2020-07-08,Beja,10
2020-07-09,Beja,6
2020-07-10,Beja,11
2020-07-11,Beja,8
2020-07-12,Beja,6
2020-07-13,Beja,7
2020-07-14,Beja,9
2020-07-15,Beja,5
2020-07-16,Beja,11
2020-07-17,Beja,12
2020-07-18,Beja,4
2020-07-19,Beja,9
2020-07-20,Beja,9
2020-07-21,Beja,5
2020-07-22,Beja,10
2020-07-23,Beja,10
2020-07-24,Beja,6
2020-07-25,Beja,3
2020-07-26,Beja,7
2020-07-27,Beja,6
2020-07-28,Beja,9
2020-07-29,Beja,12
2020-07-30,Beja,5
2020-07-31,Beja,9
2020-01-01,Braga,30
2020-01-02,Braga,28
2020-01-03,Braga,23
2020-01-04,Braga,31
2020-01-05,Braga,22
2020-01-06,Braga,25
2020-01-07,Braga,17
2020-01-08,Braga,27
2020-01-09,Braga,26
2020-01-10,Braga,25
2020-01-11,Braga,24
2020-01-12,Braga,28
2020-01-13,Braga,23
2020-01-14,Braga,23
2020-01-15,Braga,27
2020-01-16,Braga,13
2020-01-17,Braga,22
2020-01-18,Braga,20
2020-01-19,Braga,31
2020-01-20,Braga,23
2020-01-21,Braga,21
2020-01-22,Braga,20
2020-01-23,Braga,18
2020-01-24,Braga,24
2020-01-25,Braga,23
2020-01-26,Braga,27
2020-01-27,Braga,36
2020-01-28,Braga,26
2020-01-29,Braga,18
2020-01-30,Braga,29
2020-01-31,Braga,24
2020-02-01,Braga,19
2020-02-02,Braga,20
2020-02-03,Braga,28
2020-02-04,Braga,22
2020-02-05,Braga,18
2020-02-06,Braga,12
2020-02-07,Braga,22
2020-02-08,Braga,21
2020-02-09,Braga,23
2020-02-10,Braga,20
2020-02-11,Braga,21
2020-02-12,Braga,19
2020-02-13,Braga,19
2020-02-14,Braga,30
2020-02-15,Braga,20
2020-02-16,Braga,17
2020-02-17,Braga,23
2020-02-18,Braga,26
2020-02-19,Braga,21
2020-02-20,Braga,23
2020-02-21,Braga,23
2020-02-22,Braga,19
2020-02-23,Braga,25
2020-02-24,Braga,16
2020-02-25,Braga,17
2020-02-26,Braga,23
2020-02-27,Braga,31
2020-02-28,Braga,19
2020-02-29,Braga,19
2020-03-01,Braga,21
2020-03-02,Braga,10
2020-03-03,Braga,24
2020-03-04,Braga,20
2020-03-05,Braga,16
2020-03-06,Braga,12
2020-03-07,Braga,23
2020-03-08,Braga,19
2020-03-09,Braga,21
2020-03-10,Braga,19
2020-03-11,Braga,28
2020-03-12,Braga,22
2020-03-13,Braga,26
2020-03-14,Braga,29
2020-03-15,Braga,19
2020-03-16,Braga,31
2020-03-17,Braga,16
2020-03-18,Braga,20
2020-03-19,Braga,15
2020-03-20,Braga,24
2020-03-21,Braga,25
2020-03-22,Braga,23
2020-03-23,Braga,12
2020-03-24,Braga,22
2020-03-25,Braga,27
2020-03-26,Braga,23
2020-03-27,Braga,22
2020-03-28,Braga,24
2020-03-29,Braga,26
2020-03-30,Braga,21
2020-03-31,Braga,33
2020-04-01,Braga,17
2020-04-02,Braga,22
2020-04-03,Braga,16
2020-04-04,Braga,29
2020-04-05,Braga,25
2020-04-06,Braga,30
2020-04-07,Braga,20
2020-04-08,Braga,20
2020-04-09,Braga,24
2020-04-10,Braga,28
2020-04-11,Braga,18
2020-04-12,Braga,20
2020-04-13,Braga,30
2020-04-14,Braga,19
2020-04-15,Braga,27
2020-04-16,Braga,24
2020-04-17,Braga,19
2020-04-18,Braga,22
2020-04-19,Braga,25
2020-04-20,Braga,21
2020-04-21,Braga,23
2020-04-22,Braga,20
2020-04-23,Braga,27
2020-04-24,Braga,19
2020-04-25,Braga,23
2020-04-26,Braga,26
2020-04-27,Braga,21
2020-04-28,Braga,23
2020-04-29,Braga,16
2020-04-30,Braga,24
2020-05-01,Braga,25
2020-05-02,Braga,20
2020-05-03,Braga,13
2020-05-04,Braga,16
2020-05-05,Braga,22
2020-05-06,Braga,22
2020-05-07,Braga,20
2020-05-08,Braga,23
2020-05-09,Braga,21
2020-05-10,Braga,17
2020-05-11,Braga,21
2020-05-12,Braga,17
2020-05-13,Braga,24
2020-05-14,Braga,21
2020-05-15,Braga,16
2020-05-16,Braga,19
2020-05-17,Braga,13
2020-05-18,Braga,15
2020-05-19,Braga,27
2020-05-20,Braga,17
2020-05-21,Braga,15
2020-05-22,Braga,15
2020-05-23,Braga,20
2020-05-24,Braga,16
2020-05-25,Braga,18
2020-05-26,Braga,19
2020-05-27,Braga,25
2020-05-28,Braga,18
2020-05-29,Braga,23
2020-05-30,Braga,28
2020-05-31,Braga,9
2020-06-01,Braga,19
2020-06-02,Braga,18
2020-06-03,Braga,16
2020-06-04,Braga,16
2020-06-05,Braga,12
2020-06-06,Braga,10
2020-06-07,Braga,16
2020-06-08,Braga,17
2020-06-09,Braga,15
2020-06-10,Braga,15
2020-06-11,Braga,16
2020-06-12,Braga,22
2020-06-13,Braga,15
2020-06-14,Braga,13
2020-06-15,Braga,17
2020-06-16,Braga,18
2020-06-17,Braga,27
2020-06-18,Braga,15
2020-06-19,Braga,19
2020-06-20,Braga,17
2020-06-21,Braga,10
2020-06-22,Braga,19
2020-06-23,Braga,23
2020-06-24,Braga,16
2020-06-25,Braga,19
2020-06-26,Braga,20
2020-06-27,Braga,15
2020-06-28,Braga,13
2020-06-29,Braga,14
2020-06-30,Braga,17
2020-07-01,Braga,14
2020-07-02,Braga,13
2020-07-03,Braga,21
2020-07-04,Braga,18
2020-07-05,Braga,10
2020-07-06,Braga,19
2020-07-07,Braga,21
2020-07-08,Braga,25
2020-07-09,Braga,16
2020-07-10,Braga,20
2020-07-11,Braga,21
2020-07-12,Braga,18
2020-07-13,Braga,23
2020-07-14,Braga,31
2020-07-15,Braga,27
2020-07-16,Braga,22
2020-07-17,Braga,30
2020-07-18,Braga,16
2020-07-19,Braga,29
2020-07-20,Braga,29
2020-07-21,Braga,32
2020-07-22,Braga,20
2020-07-23,Braga,21
2020-07-24,Braga,23
2020-07-25,Braga,16
2020-07-26,Braga,25
2020-07-27,Braga,25
2020-07-28,Braga,22
2020-07-29,Braga,18
2020-07-30,Braga,18
2020-07-31,Braga,12
2020-01-01,Bragança,1
2020-01-02,Bragança,9
2020-01-03,Bragança,3
2020-01-04,Bragança,8
2020-01-05,Bragança,9
2020-01-06,Bragança,5
2020-01-07,Bragança,6
2020-01-08,Bragança,7
2020-01-09,Bragança,5
2020-01-10,Bragança,10
2020-01-11,Bragança,4
2020-01-12,Bragança,10
2020-01-13,Bragança,4
2020-01-14,Bragança,3
2020-01-15,Bragança,11
2020-01-16,Bragança,6
2020-01-17,Bragança,6
2020-01-18,Bragança,13
2020-01-19,Bragança,6
2020-01-20,Bragança,6
2020-01-21,Bragança,6
2020-01-22,Bragança,7
2020-01-23,Bragança,3
2020-01-24,Bragança,4
2020-01-25,Bragança,4
2020-01-26,Bragança,13
2020-01-27,Bragança,2
2020-01-28,Bragança,4
2020-01-29,Bragança,7
2020-01-30,Bragança,5
2020-01-31,Bragança,4
2020-02-01,Bragança,0
2020-02-02,Bragança,6
2020-02-03,Bragança,6
2020-02-04,Bragança,3
2020-02-05,Bragança,7
2020-02-06,Bragança,10
2020-02-07,Bragança,4
2020-02-08,Bragança,7
2020-02-09,Bragança,9
2020-02-10,Bragança,4
2020-02-11,Bragança,5
2020-02-12,Bragança,9
2020-02-13,Bragança,4
2020-02-14,Bragança,7
2020-02-15,Bragança,3
2020-02-16,Bragança,4
2020-02-17,Bragança,8
2020-02-18,Bragança,8
2020-02-19,Bragança,7
2020-02-20,Bragança,3
2020-02-21,Bragança,3
2020-02-22,Bragança,5
2020-02-23,Bragança,9
2020-02-24,Bragança,4
2020-02-25,Bragança,8
2020-02-26,Bragança,8
2020-02-27,Bragança,5
2020-02-28,Bragança,9
2020-02-29,Bragança,8
2020-03-01,Bragança,11
2020-03-02,Bragança,6
2020-03-03,Bragança,3
2020-03-04,Bragança,6
2020-03-05,Bragança,7
2020-03-06,Bragança,10
2020-03-07,Bragança,7
2020-03-08,Bragança,2
2020-03-09,Bragança,7
2020-03-10,Bragança,7
2020-03-11,Bragança,8
2020-03-12,Bragança,8
2020-03-13,Bragança,7
2020-03-14,Bragança,3
2020-03-15,Bragança,5
2020-03-16,Bragança,3
2020-03-17,Bragança,3
2020-03-18,Bragança,5
2020-03-19,Bragança,5
2020-03-20,Bragança,8
2020-03-21,Bragança,8
2020-03-22,Bragança,6
2020-03-23,Bragança,5
2020-03-24,Bragança,8
2020-03-25,Bragança,9
2020-03-26,Bragança,8
2020-03-27,Bragança,3
2020-03-28,Bragança,4
2020-03-29,Bragança,5
2020-03-30,Bragança,5
2020-03-31,Bragança,6
2020-04-01,Bragança,6
2020-04-02,Bragança,10
2020-04-03,Bragança,4
2020-04-04,Bragança,7
2020-04-05,Bragança,8
2020-04-06,Bragança,9
2020-04-07,Bragança,10
2020-04-08,Bragança,4
2020-04-09,Bragança,8
2020-04-10,Bragança,4
2020-04-11,Bragança,6
2020-04-12,Bragança,5
2020-04-13,Bragança,4
2020-04-14,Bragança,6
2020-04-15,Bragança,11
2020-04-16,Bragança,7
2020-04-17,Bragança,5
2020-04-18,Bragança,6
2020-04-19,Bragança,2
2020-04-20,Bragança,10
2020-04-21,Bragança,3
2020-04-22,Bragança,14
2020-04-23,Bragança,6
2020-04-24,Bragança,12
2020-04-25,Bragança,9
2020-04-26,Bragança,1
2020-04-27,Bragança,4
2020-04-28,Bragança,5
2020-04-29,Bragança,4
2020-04-30,Bragança,5
2020-05-01,Bragança,5
2020-05-02,Bragança,11
2020-05-03,Bragança,6
2020-05-04,Bragança,7
2020-05-05,Bragança,6
2020-05-06,Bragança,3
2020-05-07,Bragança,7
2020-05-08,Bragança,10
2020-05-09,Bragança,3
2020-05-10,Bragança,8
2020-05-11,Bragança,7
2020-05-12,Bragança,10
2020-05-13,Bragança,7
2020-05-14,Bragança,5
2020-05-15,Bragança,5
2020-05-16,Bragança,6
2020-05-17,Bragança,3
2020-05-18,Bragança,4
2020-05-19,Bragança,1
2020-05-20,Bragança,6
2020-05-21,Bragança,4
2020-05-22,Bragança,5
2020-05-23,Bragança,9
2020-05-24,Bragança,5
2020-05-25,Bragança,2
2020-05-26,Bragança,1
2020-05-27,Bragança,10
2020-05-28,Bragança,2
2020-05-29,Bragança,5
2020-05-30,Bragança,8
2020-05-31,Bragança,4
2020-06-01,Bragança,5
2020-06-02,Bragança,2
2020-06-03,Bragança,4
2020-06-04,Bragança,7
2020-06-05,Bragança,8
2020-06-06,Bragança,3
2020-06-07,Bragança,9
2020-06-08,Bragança,4
2020-06-09,Bragança,2
2020-06-10,Bragança,4
2020-06-11,Bragança,3
2020-06-12,Bragança,7
2020-06-13,Bragança,1
2020-06-14,Bragança,4
2020-06-15,Bragança,6
2020-06-16,Bragança,4
2020-06-17,Bragança,7
2020-06-18,Bragança,4
2020-06-19,Bragança,6
2020-06-20,Bragança,8
2020-06-21,Bragança,6
2020-06-22,Bragança,7
2020-06-23,Bragança,7
2020-06-24,Bragança,7
2020-06-25,Bragança,10
2020-06-26,Bragança,3
2020-06-27,Bragança,9
2020-06-28,Bragança,6
2020-06-29,Bragança,12
2020-06-30,Bragança,11
2020-07-01,Bragança,10
2020-07-02,Bragança,6
2020-07-03,Bragança,6
2020-07-04,Bragança,3
2020-07-05,Bragança,8
2020-07-06,Bragança,8
2020-07-07,Bragança,8
2020-07-08,Bragança,4
2020-07-09,Bragança,4
2020-07-10,Bragança,8
2020-07-11,Bragança,4
2020-07-12,Bragança,4
2020-07-13,Bragança,4
2020-07-14,Bragança,5
2020-07-15,Bragança,5
2020-07-16,Bragança,8
2020-07-17,Bragança,3
2020-07-18,Bragança,7
2020-07-19,Bragança,10
2020-07-20,Bragança,8
2020-07-21,Bragança,8
2020-07-22,Bragança,9
2020-07-23,Bragança,6
2020-07-24,Bragança,6
2020-07-25,Bragança,5
2020-07-26,Bragança,6
2020-07-27,Bragança,11
2020-07-28,Bragança,7
2020-07-29,Bragança,8
2020-07-30,Bragança,15
2020-07-31,Bragança,6
2020-01-01,Castelo Branco,10
2020-01-02,Castelo Branco,10
2020-01-03,Castelo Branco,9
2020-01-04,Castelo Branco,5
2020-01-05,Castelo Branco,7
2020-01-06,Castelo Branco,6
2020-01-07,Castelo Branco,10
2020-01-08,Castelo Branco,10
2020-01-09,Castelo Branco,7
2020-01-10,Castelo Branco,10
2020-01-11,Castelo Branco,6
2020-01-12,Castelo Branco,10
2020-01-13,Castelo Branco,7
2020-01-14,Castelo Branco,12
2020-01-15,Castelo Branco,5
2020-01-16,Castelo Branco,14
2020-01-17,Castelo Branco,12
2020-01-18,Castelo Branco,7
2020-01-19,Castelo Branco,17
2020-01-20,Castelo Branco,10
2020-01-21,Castelo Branco,9
2020-01-22,Castelo Branco,12
2020-01-23,Castelo Branco,13
2020-01-24,Castelo Branco,9
2020-01-25,Castelo Branco,12
2020-01-26,Castelo Branco,7
2020-01-27,Castelo Branco,9
2020-01-28,Castelo Branco,6
2020-01-29,Castelo Branco,8
2020-01-30,Castelo Branco,10
2020-01-31,Castelo Branco,12
2020-02-01,Castelo Branco,17
2020-02-02,Castelo Branco,10
2020-02-03,Castelo Branco,8
2020-02-04,Castelo Branco,9
2020-02-05,Castelo Branco,7
2020-02-06,Castelo Branco,5
2020-02-07,Castelo Branco,7
2020-02-08,Castelo Branco,9
2020-02-09,Castelo Branco,14
2020-02-10,Castelo Branco,12
2020-02-11,Castelo Branco,9
2020-02-12,Castelo Branco,6
2020-02-13,Castelo Branco,10
2020-02-14,Castelo Branco,12
2020-02-15,Castelo Branco,7
2020-02-16,Castelo Branco,7
2020-02-17,Castelo Branco,10
2020-02-18,Castelo Branco,5
2020-02-19,Castelo Branco,4
2020-02-20,Castelo Branco,10
2020-02-21,Castelo Branco,8
2020-02-22,Castelo Branco,8
2020-02-23,Castelo Branco,9
2020-02-24,Castelo Branco,8
2020-02-25,Castelo Branco,11
2020-02-26,Castelo Branco,7
2020-02-27,Castelo Branco,13
2020-02-28,Castelo Branco,5
2020-02-29,Castelo Branco,6
2020-03-01,Castelo Branco,7
2020-03-02,Castelo Branco,3
2020-03-03,Castelo Branco,10
2020-03-04,Castelo Branco,9
2020-03-05,Castelo Branco,11
2020-03-06,Castelo Branco,9
2020-03-07,Castelo Branco,11
2020-03-08,Castelo Branco,7
2020-03-09,Castelo Branco,8
2020-03-10,Castelo Branco,11
2020-03-11,Castelo Branco,7
2020-03-12,Castelo Branco,6
2020-03-13,Castelo Branco,9
2020-03-14,Castelo Branco,10
2020-03-15,Castelo Branco,8
2020-03-16,Castelo Branco,4
2020-03-17,Castelo Branco,12
2020-03-18,Castelo Branco,7
2020-03-19,Castelo Branco,12
2020-03-20,Castelo Branco,16
2020-03-21,Castelo Branco,7
2020-03-22,Castelo Branco,4
2020-03-23,Castelo Branco,4
2020-03-24,Castelo Branco,8
2020-03-25,Castelo Branco,9
2020-03-26,Castelo Branco,10
2020-03-27,Castelo Branco,13
2020-03-28,Castelo Branco,10
2020-03-29,Castelo Branco,16
2020-03-30,Castelo Branco,5
2020-03-31,Castelo Branco,5
2020-04-01,Castelo Branco,15
2020-04-02,Castelo Branco,5
2020-04-03,Castelo Branco,9
2020-04-04,Castelo Branco,12
2020-04-05,Castelo Branco,11
2020-04-06,Castelo Branco,7
2020-04-07,Castelo Branco,10
2020-04-08,Castelo Branco,5
2020-04-09,Castelo Branco,9
2020-04-10,Castelo Branco,5
2020-04-11,Castelo Branco,6
2020-04-12,Castelo Branco,10
2020-04-13,Castelo Branco,8
2020-04-14,Castelo Branco,6
2020-04-15,Castelo Branco,5
2020-04-16,Castelo Branco,6
2020-04-17,Castelo Branco,11
2020-04-18,Castelo Branco,6
2020-04-19,Castelo Branco,9
2020-04-20,Castelo Branco,6
2020-04-21,Castelo Branco,4
2020-04-22,Castelo Branco,5
2020-04-23,Castelo Branco,6
2020-04-24,Castelo Branco,7
2020-04-25,Castelo Branco,9
2020-04-26,Castelo Branco,8
2020-04-27,Castelo Branco,1
2020-04-28,Castelo Branco,4
2020-04-29,Castelo Branco,5
2020-04-30,Castelo Branco,4
2020-05-01,Castelo Branco,6
2020-05-02,Castelo Branco,3
2020-05-03,Castelo Branco,12
2020-05-04,Castelo Branco,4
2020-05-05,Castelo Branco,7
2020-05-06,Castelo Branco,11
2020-05-07,Castelo Branco,9
2020-05-08,Castelo Branco,9
2020-05-09,Castelo Branco,3
2020-05-10,Castelo Branco,4
2020-05-11,Castelo Branco,8
