data,Distrito,Óbitos
2020-01-01,Aveiro,20
2020-01-02,Aveiro,15
2020-01-03,Aveiro,20
2020-01-04,Aveiro,23
2020-01-05,Aveiro,20
2020-01-06,Aveiro,26
2020-01-07,Aveiro,31
2020-01-08,Aveiro,28
2020-01-09,Aveiro,15
2020-01-10,Aveiro,32
2020-01-11,Aveiro,28
2020-01-12,Aveiro,22
2020-01-13,Aveiro,25
2020-01-14,Aveiro,17
2020-01-15,Aveiro,25
2020-01-16,Aveiro,20
2020-01-17,Aveiro,25
2020-01-18,Aveiro,23
2020-01-19,Aveiro,19
2020-01-20,Aveiro,21
2020-01-21,Aveiro,26
2020-01-22,Aveiro,20
2020-01-23,Aveiro,40
2020-01-24,Aveiro,17
2020-01-25,Aveiro,25
2020-01-26,Aveiro,30
2020-01-27,Aveiro,27
2020-01-28,Aveiro,29
2020-01-29,Aveiro,29
2020-01-30,Aveiro,24
2020-01-31,Aveiro,28
2020-02-01,Aveiro,31
2020-02-02,Aveiro,34
2020-02-03,Aveiro,21
2020-02-04,Aveiro,27
2020-02-05,Aveiro,19
2020-02-06,Aveiro,25
2020-02-07,Aveiro,15
2020-02-08,Aveiro,25
2020-02-09,Aveiro,26
2020-02-10,Aveiro,17
2020-02-11,Aveiro,25
2020-02-12,Aveiro,26
2020-02-13,Aveiro,26
2020-02-14,Aveiro,19
2020-02-15,Aveiro,24
2020-02-16,Aveiro,15
2020-02-17,Aveiro,31
2020-02-18,Aveiro,25
2020-02-19,Aveiro,18
2020-02-20,Aveiro,23
2020-02-21,Aveiro,27
2020-02-22,Aveiro,21
2020-02-23,Aveiro,21
2020-02-24,Aveiro,21
2020-02-25,Aveiro,18
2020-02-26,Aveiro,23
2020-02-27,Aveiro,25
2020-02-28,Aveiro,23
2020-02-29,Aveiro,24
2020-03-01,Aveiro,23
2020-03-02,Aveiro,22
2020-03-03,Aveiro,25
2020-03-04,Aveiro,22
2020-03-05,Aveiro,17
2020-03-06,Aveiro,20
2020-03-07,Aveiro,16
2020-03-08,Aveiro,21
2020-03-09,Aveiro,20
2020-03-10,Aveiro,18
2020-03-11,Aveiro,23
2020-03-12,Aveiro,26
2020-03-13,Aveiro,18
2020-03-14,Aveiro,31
2020-03-15,Aveiro,18
2020-03-16,Aveiro,24
2020-03-17,Aveiro,24
2020-03-18,Aveiro,21
2020-03-19,Aveiro,31
2020-03-20,Aveiro,22
2020-03-21,Aveiro,25
2020-03-22,Aveiro,20
2020-03-23,Aveiro,27
2020-03-24,Aveiro,28
2020-03-25,Aveiro,21
2020-03-26,Aveiro,23
2020-03-27,Aveiro,23
2020-03-28,Aveiro,31
2020-03-29,Aveiro,21
2020-03-30,Aveiro,35
2020-03-31,Aveiro,33
2020-04-01,Aveiro,21
2020-04-02,Aveiro,27
2020-04-03,Aveiro,28
2020-04-04,Aveiro,33
2020-04-05,Aveiro,31
2020-04-06,Aveiro,31
2020-04-07,Aveiro,31
